organisation_id,survey_data_id,ecd_name,center_type_name,center_active,name_of_contact_person,phone_number_contact_person,group_village_head,district,ecd_code,cbcc_code,name_data_collector,date_data_collection,parliamentary_constituency,village,traditional_authority,name_nearest_town_trading_center,latitude,longitude,global_positioning_system_eastings,global_positioning_system_northings,non_governmental_organisation_supporting_ecd,community_based_organisation_supporting_ecd,caregivers_male,caregivers_female,caregivers_total,trained_caregivers_male,trained_caregivers_female,trained_caregivers_total,untrained_caregivers_male,untrained_caregivers_female,untrained_caregivers_total,dropped_care_givers_3_years_male,dropped_care_givers_3_years_female,dropped_care_givers_3_years_total,parent_committee_members_male,parent_committee_members_female,parent_committee_members_total,dropped_trained_caregivers_3_years_male,dropped_trained_caregivers_3_years_female,dropped_trained_caregivers_3_years_total,registered_male,registered_female,registered_total,attendance_visit_day_male,attendance_visit_day_female,attendance_visit_day_total,transition_primary_school_male,transition_primary_school_female,transition_primary_school_total,orphan_male,orphan_female,orphan_total,special_needs_male,special_needs_female,special_needs_total,ecd_structure,structure_type_name,class_room_number,has_toilet,toilet_number,toilet_child_friendly,has_water_supply,water_source_type_name,distance_to_water_source_meters,has_garden,garden_size_acres,irrigable_dimba_land,irrigable_dimba_land_size_acres,has_feeding_program,has_kitchen,has_store_room,has_outdoor_materials,has_eating_utensils,distance_nearest_health_primary_school,primary_school_name,distance_nearest_health_facility_kilometers,health_facility_name,observation,logs,ta
87,1425,HAPPY KIDS PVT CBCC,,,CG,998509855,Adam,Blantyre,,30506154,Bridget Mpata,06-Sep-13,,Adam,Kuntaja,Chilomoni,-15.768376,34.890778,702560,8255776,,,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13,7,20,4,3,7,5,2,7,0,1,1,0,0,0,0,Temporary,1,1,2,0,1,Borehole,900,0,,0,,0,0,0,0,0,1.3,,1.3,,,,
87,1592,DZILIMBIRE CBCC,,,CG,0999305008/0992130633,Andrew,Blantyre,,30533031,George Phiri,30-May-14,,Mphonyiwa,Machinjiri,Mzedi,-15.770073,35.103325,725337,8255373,"Save DAPP, CYO,WOFAD",,2,7,9,0,0,0,1,8,9,1,2,3,0,10,10,0,0,0,23,25,48,0,0,0,15,10,25,14,20,34,0,1,1,0,Permanent,1,1,2,1,1,Borehole,1000,1,0.65,1,0.5,1,1,1,1,1,1,,,,,,
87,1194,DELTOYS NURSERY,,,CG,888509610,Baluti,Blantyre,,30501032,U. Maneya,18-Nov-13,,Baluti,Blantyre City,,-15.839753,35.008996,715153,8247760,,,1,2,3,0,0,0,1,2,3,0,1,1,0,0,0,1,0,1,48,27,75,30,29,59,0,0,0,0,0,0,0,0,0,0,Permanent,1,1,1,0,1,Tap,200,0,,0,,0,0,0,0,0,1,,5,,,Mzedi Ward,
87,1667,TIKONDANE CBCC,,,CG,995968431,Bota,Blantyre,,30508022,J. Manyumba,29-May-13,,Bota,Somba,Chilobwe,-15.89345,35.009073,715105,8241817,Save The Children,Khola,0,2,2,0,0,0,0,2,2,3,0,3,2,8,10,0,0,0,19,22,41,7,11,18,2,3,5,4,7,11,1,0,1,0,Temporary,1,0,,0,1,Unprotected Well,400,1,0.5,0,,0,0,0,0,0,1.3,,4.3,,Church building is being used as the CBCC,,
87,1664,TAOMBOLEDWA CBCC,,,CG,999114565,Bota,Blantyre,,30508019,J. Manyumba,29-May-13,,Khalamba,Somba,Chilobwe,-15.885579,35.000271,714170,8242697,Save The Children,,2,3,5,0,1,1,2,1,3,2,2,4,4,6,10,2,2,4,35,40,75,12,13,25,7,14,21,7,10,17,3,2,5,0,Permanent,1,1,2,1,1,Unprotected Well,500,1,0.5,1,0.25,1,1,1,1,1,0.3,,4,,,,
87,1666,MTENDERE CBCC,,,CG,884985354,Bota,Blantyre,,30508021,J. Manyumba,29-May-13,,Chingota,Somba,Chilobwe,-15.897055,35.003221,714474,8241424,Save The Children,Khola,1,2,3,0,2,2,1,0,1,2,0,2,2,8,10,0,2,2,20,22,42,13,13,26,3,5,8,6,4,10,0,0,0,0,,,0,,0,1,Unprotected Well,200,1,0.5,1,0.25,0,0,0,0,0,,,,,They are about to construct a CBCC building,,
87,1668,CHEMBOMA CBCC,,,CG,88262679,Bota,Blantyre,,30508023,J. Manyumba,29-May-13,,Chemboma,Somba,Chilobwe,-15.880525,35.015133,715767,8243241,Mary Meals,Khola,0,6,6,0,6,6,0,0,0,0,0,0,3,7,10,0,0,0,101,121,222,81,100,181,20,40,60,49,52,101,0,0,0,0,Permanent,1,1,1,1,1,Borehole,200,1,0.5,0,,0,0,0,0,0,0.2,,2,,This CBCC is being Supported by Marry Meals,,
87,1124,TITHOKOZE CBCC,,,CG,111623168,Bwanahaji,Blantyre,,30503032,Cecilia Chilemba,04-Jun-13,,Bwanahaji,Machinjiri,Limbe,-15.416925,35.009938,715697,8294553,"SOS, ADRA, MANASO,NICE, Gift Of Givers",Chilinga Chikondi,0,12,12,0,6,6,0,6,6,0,0,0,3,7,10,0,0,0,27,15,42,5,10,15,7,3,10,0,0,0,0,0,0,0,,,1,1,0,1,Tap,500,1,1,1,1,1,0,0,1,1,1,,1,,,,
87,1134,CHICCO CBCC,,,CG,999674347,Bwanahaji,Blantyre,,30555009,Cecilia,11-Sep-13,,Chimwaza,Machinjiri,Blantyre,-15.858335,35.053283,719878,8245657,,,0,2,2,0,0,0,0,2,2,0,0,0,5,5,10,0,0,0,27,35,62,8,28,36,6,7,13,1,0,1,1,1,2,0,Temporary,1,1,1,0,1,Borehole,100,0,,1,1,0,0,0,0,0,3,,3,,,,
87,1442,NAMITALALA CBCC,,,CG,991872513,Bwanasompho,Blantyre,,30506171,T. Limbani,05-Aug-13,,Wiskemu,Blantyre City,Bwanasompho,-15.811489,34.879668,701327,8251016,,Chilingani,0,4,4,0,0,0,0,4,4,0,1,1,2,7,9,0,0,0,20,22,42,15,20,35,2,3,5,5,5,10,3,1,4,0,Temporary,1,1,2,0,1,Borehole,100,1,0.5,0,,0,0,0,0,0,0.5,,2,,The centre need to be supported in capacity building for caregiver,Chigumula Ward,
87,1444,MUDI CBCC,,,CG,888264280,Bwanasompho,Blantyre,,30506173,T. Limbani,05-Aug-13,,Chalamanda,Kuntaja,Sigerege,-15.806032,34.884075,701804,8251616,,Chilingani,2,1,3,0,0,0,2,1,3,0,1,1,6,4,10,1,0,1,26,33,59,25,25,50,15,5,20,6,4,10,0,0,0,0,Temporary,1,1,1,1,1,River,150,0,,0,,1,0,0,0,1,1.5,,2,,,,
87,1446,MTULA CBCC,,,CG,881259659,Bwanasompho,Blantyre,,30506175,T. Limbani,05-Aug-13,,Kajawo,Kapeni,Chimembe,-15.787297,34.878723,701249,8253694,,Chilingani,0,5,5,0,0,0,0,5,5,0,1,1,1,6,7,0,0,0,20,36,56,3,3,6,2,4,6,4,7,11,0,0,0,0,Temporary,1,0,,0,1,River,200,0,,0,,0,0,0,0,0,1,,1,,People are willing to do the work but they need training in child care and CBCC management,,
